"Date","Price","Open","High","Low","Vol.","Change %"
"09/23/2024","2,096.97","2,096.97","2,096.97","2,096.97","","-0.45%"
"09/19/2024","2,106.44","2,106.44","2,106.44","2,106.44","","1.42%"
"09/18/2024","2,076.98","2,076.98","2,076.98","2,076.98","","0.40%"
"09/17/2024","2,068.61","2,068.61","2,068.61","2,068.61","","-1.53%"
"09/12/2024","2,100.75","2,100.75","2,100.75","2,100.75","","-0.33%"
"09/11/2024","2,107.81","2,107.81","2,107.81","2,107.81","","-0.33%"
"09/10/2024","2,114.74","2,114.74","2,114.74","2,114.74","","1.06%"
"09/09/2024","2,092.52","2,092.52","2,092.52","2,092.52","","-1.03%"
"09/05/2024","2,114.36","2,114.36","2,114.36","2,114.36","","0.05%"
"09/04/2024","2,113.25","2,113.25","2,113.25","2,113.25","","-0.93%"
"09/03/2024","2,133.10","2,133.10","2,133.10","2,133.10","","-0.05%"
"09/02/2024","2,134.11","2,134.11","2,134.11","2,134.11","","0.44%"
"08/29/2024","2,124.71","2,124.71","2,124.71","2,124.71","","0.32%"
"08/28/2024","2,117.93","2,117.93","2,117.93","2,117.93","","1.46%"
"08/27/2024","2,087.47","2,087.47","2,087.47","2,087.47","","-0.03%"
"08/26/2024","2,088.13","2,088.13","2,088.13","2,088.13","","-0.12%"
"08/22/2024","2,090.59","2,090.59","2,090.59","2,090.59","","2.10%"
"08/21/2024","2,047.63","2,047.63","2,047.63","2,047.63","","-2.18%"
"08/20/2024","2,093.27","2,093.27","2,093.27","2,093.27","","-1.31%"
"08/19/2024","2,121.14","2,121.14","2,121.14","2,121.14","","-2.67%"
"08/15/2024","2,179.35","2,179.35","2,179.35","2,179.35","","-0.81%"
"08/14/2024","2,197.04","2,197.04","2,197.04","2,197.04","","2.95%"
"08/13/2024","2,134.04","2,134.04","2,134.04","2,134.04","","-0.91%"
"08/12/2024","2,153.54","2,153.54","2,153.54","2,153.54","","0.98%"
"08/08/2024","2,132.73","2,132.73","2,132.73","2,132.73","","5.47%"
"08/07/2024","2,022.17","2,022.17","2,022.17","2,022.17","","4.52%"
"08/06/2024","1,934.74","1,934.74","1,934.74","1,934.74","","1.78%"
"08/01/2024","1,900.85","1,900.85","1,900.85","1,900.85","","0.78%"
"07/31/2024","1,886.19","1,886.19","1,886.19","1,886.19","","0.23%"
"07/30/2024","1,881.86","1,881.86","1,881.86","1,881.86","","-1.10%"
"07/29/2024","1,902.75","1,902.75","1,902.75","1,902.75","","-1.55%"
"07/25/2024","1,932.77","1,932.77","1,932.77","1,932.77","","1.27%"
"07/24/2024","1,908.52","1,908.52","1,908.52","1,908.52","","-2.29%"
"07/18/2024","1,953.27","1,953.27","1,953.27","1,953.27","","-0.41%"
"07/16/2024","1,961.37","1,961.37","1,961.37","1,961.37","","0.88%"
"07/15/2024","1,944.29","1,944.29","1,944.29","1,944.29","","0.10%"
"07/11/2024","1,942.36","1,942.36","1,942.36","1,942.36","","-0.81%"
"07/10/2024","1,958.13","1,958.13","1,958.13","1,958.13","","-0.33%"
