"Date","Price","Open","High","Low","Vol.","Change %"
"03/04/2018","5,827.98","5,827.98","5,827.98","5,827.98","","-0.73%"
"02/25/2018","5,870.83","5,870.83","5,870.83","5,870.83","","-0.61%"
"02/18/2018","5,906.98","5,906.98","5,906.98","5,906.98","","-2.37%"
"02/11/2018","6,050.19","6,050.19","6,050.19","6,050.19","","1.42%"
"02/04/2018","5,965.62","5,965.62","5,965.62","5,965.62","","-0.93%"
"01/28/2018","6,021.44","6,021.44","6,021.44","6,021.44","","-3.13%"
"01/21/2018","6,215.80","6,215.80","6,215.80","6,215.80","","1.53%"
"01/14/2018","6,122.23","6,122.23","6,122.23","6,122.23","","-0.92%"
"01/07/2018","6,179.32","6,179.32","6,179.32","6,179.32","","-1.96%"
"12/31/2017","6,302.84","6,302.84","6,302.84","6,302.84","","0.93%"
"12/24/2017","6,244.52","6,244.52","6,244.52","6,244.52","","1.00%"
"12/17/2017","6,182.78","6,182.78","6,182.78","6,182.78","","-0.76%"
"12/10/2017","6,230.01","6,230.01","6,230.01","6,230.01","","-0.29%"
"12/03/2017","6,248.22","6,248.22","6,248.22","6,248.22","","-0.93%"
"11/26/2017","6,306.86","6,306.86","6,306.86","6,306.86","","-0.25%"
"11/19/2017","6,322.51","6,322.51","6,322.51","6,322.51","","0.64%"
"11/12/2017","6,282.09","6,282.09","6,282.09","6,282.09","","1.43%"
"11/05/2017","6,193.56","6,193.56","6,193.56","6,193.56","","1.55%"
"10/29/2017","6,099.02","6,099.02","6,099.02","6,099.02","","1.34%"
"10/22/2017","6,018.25","6,018.25","6,018.25","6,018.25","","-0.35%"
"10/15/2017","6,039.55","6,039.55","6,039.55","6,039.55","","-0.41%"
"10/08/2017","6,064.40","6,064.40","6,064.40","6,064.40","","-2.22%"
"10/01/2017","6,202.31","6,202.31","6,202.31","6,202.31","","1.80%"
"09/24/2017","6,092.84","6,092.84","6,092.84","6,092.84","","-1.26%"
"09/17/2017","6,170.47","6,170.47","6,170.47","6,170.47","","-0.54%"
"09/10/2017","6,203.90","6,203.90","6,203.90","6,203.90","","1.45%"
"09/03/2017","6,114.98","6,114.98","6,114.98","6,114.98","","1.81%"
"08/27/2017","6,006.43","6,006.43","6,006.43","6,006.43","","2.06%"
"08/20/2017","5,885.42","5,885.42","5,885.42","5,885.42","","0.41%"
"08/13/2017","5,861.11","5,861.11","5,861.11","5,861.11","","-0.69%"
"08/06/2017","5,901.80","5,901.80","5,901.80","5,901.80","","0.36%"
"07/30/2017","5,880.44","5,880.44","5,880.44","5,880.44","","1.12%"
"07/23/2017","5,815.07","5,815.07","5,815.07","5,815.07","","0.56%"
"07/16/2017","5,782.47","5,782.47","5,782.47","5,782.47","","-0.90%"
"07/09/2017","5,834.86","5,834.86","5,834.86","5,834.86","","1.48%"
"07/02/2017","5,749.65","5,749.65","5,749.65","5,749.65","","1.66%"
"06/25/2017","5,656.04","5,656.04","5,656.04","5,656.04","","1.02%"
"06/18/2017","5,599.07","5,599.07","5,599.07","5,599.07","","2.39%"
"06/11/2017","5,468.32","5,468.32","5,468.32","5,468.32","","-0.14%"
"06/04/2017","5,475.74","5,475.74","5,475.74","5,475.74","","0.68%"
"05/28/2017","5,438.70","5,438.70","5,438.70","5,438.70","","0.46%"
"05/21/2017","5,413.81","5,413.81","5,413.81","5,413.81","","0.26%"
"05/14/2017","5,399.66","5,399.66","5,399.66","5,399.66","","-1.76%"
"05/07/2017","5,496.20","5,496.20","5,496.20","5,496.20","","-0.80%"
"04/30/2017","5,540.71","5,540.71","5,540.71","5,540.71","","0.11%"
"04/23/2017","5,534.42","5,534.42","5,534.42","5,534.42","","0.23%"
"04/16/2017","5,521.66","5,521.66","5,521.66","5,521.66","","-2.20%"
"04/09/2017","5,645.86","5,645.86","5,645.86","5,645.86","","-1.58%"
"04/02/2017","5,736.40","5,736.40","5,736.40","5,736.40","","0.29%"
"03/26/2017","5,719.61","5,719.61","5,719.61","5,719.61","","-0.12%"
"03/19/2017","5,726.23","5,726.23","5,726.23","5,726.23","","0.44%"
"03/12/2017","5,701.27","5,701.27","5,701.27","5,701.27","","0.52%"
"03/05/2017","5,671.61","5,671.61","5,671.61","5,671.61","","1.52%"
"02/26/2017","5,586.74","5,586.74","5,586.74","5,586.74","","-0.69%"
"02/19/2017","5,625.33","5,625.33","5,625.33","5,625.33","","0.62%"
"02/12/2017","5,590.66","5,590.66","5,590.66","5,590.66","","1.42%"
"02/05/2017","5,512.46","5,512.46","5,512.46","5,512.46","","2.75%"
"01/29/2017","5,365.13","5,365.13","5,365.13","5,365.13","","-4.51%"
"01/22/2017","5,618.64","5,618.64","5,618.64","5,618.64","","1.53%"
"01/15/2017","5,534.06","5,534.06","5,534.06","5,534.06","","3.58%"
"01/08/2017","5,342.87","5,342.87","5,342.87","5,342.87","","3.10%"
"01/01/2017","5,182.24","5,182.24","5,182.24","5,182.24","","2.90%"
"12/25/2016","5,036.05","5,036.05","5,036.05","5,036.05","","1.60%"
"12/18/2016","4,956.73","4,956.73","4,956.73","4,956.73","","0.63%"
"12/11/2016","4,925.72","4,925.72","4,925.72","4,925.72","","0.67%"
